Procedure Category,Procedure Name,Step Number,Action Description,Responsible Role,Estimated Time,Success Criteria,Failure Response
Pre-Deployment Validation,Code Quality Checks,1,Run full test suite (npm run test),Developer,5 minutes,All tests pass (>95% coverage),Fix failing tests before proceeding
Pre-Deployment Validation,Code Quality Checks,2,Validate production build (npm run build),Developer,3 minutes,Build completes without errors,Review and fix compilation errors
Pre-Deployment Validation,Code Quality Checks,3,Run security validation (npm run validate:security),Developer,2 minutes,34/35+ security checks pass,Address security vulnerabilities
Pre-Deployment Validation,Environment Verification,4,Check all environment variables configured,DevOps,2 minutes,All required variables present and valid,Update environment configuration
Pre-Deployment Validation,Environment Verification,5,Test OPAL integration endpoints,Developer,3 minutes,All webhook endpoints respond with 200,Fix OPAL connectivity issues
Pre-Deployment Validation,Environment Verification,6,Validate database connectivity and migrations,DevOps,2 minutes,Database accessible and schema current,Run migrations or fix connectivity
Pre-Deployment Validation,Performance Validation,7,Run performance benchmarks,Developer,5 minutes,Response times within SLA targets,Optimize performance bottlenecks
Pre-Deployment Validation,Webhook Optimization Validation,8,Test React Query OSA status hook (npm run test:hooks),Developer,3 minutes,useRecentOsaStatus hook returns data within 5s,Debug React Query configuration
Pre-Deployment Validation,Webhook Optimization Validation,9,Validate controlled SSE streaming activation,Developer,5 minutes,Streaming only activates during Force Sync workflows,Fix streaming control logic
Pre-Deployment Validation,Webhook Optimization Validation,10,Test OSA status API endpoint performance,Developer,2 minutes,/api/admin/osa/recent-status responds <200ms,Optimize database queries
Pre-Deployment Validation,Webhook Optimization Validation,11,Verify console spam reduction (NEXT_PUBLIC_OSA_STREAM_DEBUG=false),Developer,2 minutes,No debug logs in production build,Update debug flag configuration

Production Deployment,Deployment Execution,1,Create deployment branch from main,DevOps,1 minute,Clean branch created with all changes,Resolve merge conflicts
Production Deployment,Deployment Execution,2,Update version numbers and documentation,Developer,2 minutes,Version bumped and docs updated,Correct version inconsistencies
Production Deployment,Deployment Execution,3,Execute automated deployment pipeline,DevOps,10 minutes,Pipeline completes successfully,Investigate pipeline failures
Production Deployment,Deployment Execution,4,Run database migrations (if applicable),DevOps,5 minutes,Migrations complete without errors,Rollback migrations if needed
Production Deployment,Deployment Execution,5,Warm up caches and validate services,DevOps,3 minutes,All caches populated and services healthy,Clear caches and restart services
